Case,Algorithm,Bins Used,Time / Item (s),nitems,ndays,Bin Utilization,Avg Items per Bin,Percent Items Departed,Bins Used per Item,Efficiency,Time (s)
Varying Bin Capacity,worst_fit,6,0.0,10,-1,0.8204996348095084,1.6666666666666667,1.0,0.6,0.8204996348095084,0.0
Varying Bin Capacity,first_fit_decreasing,6,0.0,10,-1,0.9179764130250438,1.6666666666666667,1.0,0.6,0.9179764130250438,0.0
Varying Bin Capacity,best_fit_decreasing,6,0.0,10,-1,0.9179764130250438,1.6666666666666667,1.0,0.6,0.9179764130250438,0.0
Varying Bin Capacity,next_fit_decreasing,7,0.0,10,-1,0.6863246316819939,1.4285714285714286,1.0,0.7,0.6863246316819939,0.0
Varying Bin Capacity,worst_fit_decreasing,6,0.0,10,-1,0.7681484281335089,1.6666666666666667,1.0,0.6,0.7681484281335089,0.0
Varying Bin Capacity,time_aware_harmonic_algorithm,6,0.0,10,-1,0.8819461450073678,1.6666666666666667,1.0,0.6,0.8819461450073678,0.0
Varying Bin Capacity,rolling_horizon_dp,7,0.0,10,-1,0.5881478648327564,1.4285714285714286,1.0,0.7,0.5881478648327564,0.0
Highly Fragmented Items,first_fit,4,0.0,10,-1,0.8681241229628858,2.5,1.0,0.4,0.8681241229628858,0.0
Highly Fragmented Items,next_fit,4,0.0,10,-1,0.8180626552864916,2.5,1.0,0.4,0.8180626552864916,0.0
Highly Fragmented Items,best_fit,4,0.0,10,-1,0.8559110709917254,2.5,1.0,0.4,0.8559110709917254,0.0
Highly Fragmented Items,worst_fit,4,0.0,10,-1,0.8180626552864916,2.5,1.0,0.4,0.8180626552864916,0.0
Highly Fragmented Items,first_fit_decreasing,4,0.0,10,-1,0.9042125980810654,2.5,1.0,0.4,0.9042125980810654,0.0
Highly Fragmented Items,best_fit_decreasing,4,0.0,10,-1,0.9042125980810654,2.5,1.0,0.4,0.9042125980810654,0.0
Highly Fragmented Items,next_fit_decreasing,4,0.0,10,-1,0.8467551719238682,2.5,1.0,0.4,0.8467551719238682,0.0
Highly Fragmented Items,worst_fit_decreasing,4,0.0,10,-1,0.8467551719238682,2.5,1.0,0.4,0.8467551719238682,0.0
Highly Fragmented Items,time_aware_harmonic_algorithm,4,0.0,10,-1,0.8681241229628858,2.5,1.0,0.4,0.8681241229628858,0.0
Highly Fragmented Items,rolling_horizon_dp,5,0.0,10,-1,0.6685428977537266,2.0,1.0,0.5,0.6685428977537266,0.0
Time-aware items,first_fit,7,0.0,10,10,0.8544332452811391,1.4285714285714286,1.0,0.7,0.8544332452811391,0.0
Time-aware items,next_fit,8,0.0,10,10,0.8519753158949279,1.25,1.0,0.8,0.8519753158949279,0.0
Time-aware items,best_fit,7,0.0,10,10,0.8544332452811391,1.4285714285714286,1.0,0.7,0.8544332452811391,0.0
Time-aware items,worst_fit,7,0.0,10,10,0.8544332452811391,1.4285714285714286,1.0,0.7,0.8544332452811391,0.0
Time-aware items,first_fit_decreasing,7,0.0,10,10,0.8544332452811391,1.4285714285714286,1.0,0.7,0.8544332452811391,0.0
Time-aware items,best_fit_decreasing,7,0.0,10,10,0.8544332452811391,1.4285714285714286,1.0,0.7,0.8544332452811391,0.0
Time-aware items,next_fit_decreasing,7,0.0,10,10,0.8495173865087167,1.4285714285714286,1.0,0.7,0.8495173865087167,0.0
Time-aware items,worst_fit_decreasing,7,0.0,10,10,0.8495173865087167,1.4285714285714286,1.0,0.7,0.8495173865087167,0.0
Time-aware items,time_aware_harmonic_algorithm,7,0.0,10,10,0.8366664074219918,1.4285714285714286,1.0,0.7,0.8366664074219918,0.0
Time-aware items,rolling_horizon_dp,9,0.0,10,10,0.7778641479453565,1.1111111111111112,1.0,0.9,0.7778641479453565,0.0
Correlated Arrival and Departure,first_fit,4,0.0,10,10,0.845393016803405,2.5,1.0,0.4,0.845393016803405,0.0
Correlated Arrival and Departure,next_fit,5,0.0,10,10,0.7961439692363785,2.0,1.0,0.5,0.7961439692363785,0.0
Correlated Arrival and Departure,best_fit,4,0.0,10,10,0.845393016803405,2.5,1.0,0.4,0.845393016803405,0.0
Correlated Arrival and Departure,worst_fit,4,0.0,10,10,0.8256975508885518,2.5,1.0,0.4,0.8256975508885518,0.0
Correlated Arrival and Departure,first_fit_decreasing,4,0.0,10,10,0.9466104075140198,2.5,1.0,0.4,0.9466104075140198,0.0
Correlated Arrival and Departure,best_fit_decreasing,4,0.0,10,10,0.9466104075140198,2.5,1.0,0.4,0.9466104075140198,0.0
Correlated Arrival and Departure,next_fit_decreasing,5,0.0,10,10,0.727453712350821,2.0,1.0,0.5,0.727453712350821,0.0
